,FROM-ID,TO-ID,DISTANCE,lat_from,long_from,lat_to,long_to
39,4d2146a4d7b0b1f77cf71b9f,4be70e16cf200f47b634153c,0.154500122,24.67609531,46.67559145,24.67585123,46.67619507
40,4d2146a4d7b0b1f77cf71b9f,4be70e16cf200f47b634153c,0.154500122,24.67566508,46.67582252,24.67585123,46.67619507
41,4d2146a4d7b0b1f77cf71b9f,4be70e16cf200f47b634153c,0.154500122,24.67614917,46.67711938,24.67585123,46.67619507
42,541ff49b498e451a8f1a7164,50b08d04e4b045752b6cda32,0.112237325,24.71178341,46.67553014,24.711759,46.67510101
43,4e5bcac318388cd5cbc1a9c5,50b08d04e4b045752b6cda32,0.118668326,24.71182915,46.67315816,24.711759,46.67510101
44,4c892e4897828cfa5630a2aa,50b08d04e4b045752b6cda32,0.981272579,24.71671738,46.68273637,24.711759,46.67510101
45,4c892e4897828cfa5630a2aa,50b08d04e4b045752b6cda32,0.981272579,24.71490971,46.67785585,24.711759,46.67510101
46,4c892e4897828cfa5630a2aa,50b08d04e4b045752b6cda32,0.981272579,24.71208307,46.67446911,24.711759,46.67510101
47,4c892e4897828cfa5630a2aa,50b08d04e4b045752b6cda32,0.981272579,24.69712918,46.68392301,24.711759,46.67510101
48,4b65bb89f964a52059fc2ae3,5257253411d294223f9f3688,0.366867827,24.69958551,46.69253826,24.69841583,46.68914258
49,4b65bb89f964a52059fc2ae3,5257253411d294223f9f3688,0.366867827,24.699396,46.691686,24.69841583,46.68914258
50,4b65bb89f964a52059fc2ae3,5257253411d294223f9f3688,0.366867827,24.69955758,46.69224093,24.69841583,46.68914258
51,4e5bcac318388cd5cbc1a9c5,4b6afa55f964a5202fea2be3,0.02821436,24.71182915,46.67315816,24.71126851,46.67445967
52,4e5bcac318388cd5cbc1a9c5,4b6afa55f964a5202fea2be3,0.02821436,24.71182915,46.67315816,24.71101655,46.67442666
53,508ed42fe4b0c36e94d12fde,4e91596e49013919db2fba98,0.665386563,24.67677613,46.67784093,24.67547999,46.67426633
54,508ed42fe4b0c36e94d12fde,4e91596e49013919db2fba98,0.665386563,24.67677613,46.67784093,24.68083972,46.67719484
55,508ed42fe4b0c36e94d12fde,4e91596e49013919db2fba98,0.665386563,24.67677613,46.67784093,24.67608847,46.67538867
56,508ed42fe4b0c36e94d12fde,4e91596e49013919db2fba98,0.665386563,24.67677613,46.67784093,24.67621438,46.67601115
57,4be80229ee96c9280e86fdbf,4b82e734f964a52022ec30e3,0.017922656,24.69025499,46.68490127,24.69022604,46.68507578
58,4be80229ee96c9280e86fdbf,4b82e734f964a52022ec30e3,0.017922656,24.69025499,46.68490127,24.68913547,46.68448149
59,4b82e734f964a52022ec30e3,4cb86ba69552b60cd855cc8b,0.084178866,24.69022604,46.68507578,24.69073393,46.6844579
60,4b82e734f964a52022ec30e3,4cb86ba69552b60cd855cc8b,0.084178866,24.69022604,46.68507578,24.69120258,46.68621898
61,4b82e734f964a52022ec30e3,4cb86ba69552b60cd855cc8b,0.084178866,24.68913547,46.68448149,24.69073393,46.6844579
62,4b82e734f964a52022ec30e3,4cb86ba69552b60cd855cc8b,0.084178866,24.68913547,46.68448149,24.69120258,46.68621898
63,522b709511d203fd862ad7aa,52effe1e498e631c290b8416,0.013375436,24.75349624,46.61016986,24.75338381,46.61021695
64,522b709511d203fd862ad7aa,52effe1e498e631c290b8416,0.013375436,24.75349624,46.61016986,24.75355964,46.60970832
65,5380ed0c498eaf0c7902f1d3,520d511711d2b31f9d7727b0,0.085251049,24.75346511,46.6095529,24.75342362,46.61039592
66,5380ed0c498eaf0c7902f1d3,520d511711d2b31f9d7727b0,0.085251049,24.75347319,46.6096989,24.75342362,46.61039592
67,520d511711d2b31f9d7727b0,512643bce4b0f48095f51257,2.12938132,24.75342362,46.61039592,24.75332473,46.61040534
68,520d511711d2b31f9d7727b0,512643bce4b0f48095f51257,2.12938132,24.75342362,46.61039592,24.75346224,46.60987315
69,4c8fbb1e0b9e3704ddce615e,512643bce4b0f48095f51257,2.759524981,24.77029092,46.62038132,24.75332473,46.61040534
70,4c8fbb1e0b9e3704ddce615e,512643bce4b0f48095f51257,2.759524981,24.77029092,46.62038132,24.75346224,46.60987315
71,4b6afa55f964a5202fea2be3,4e5bcac318388cd5cbc1a9c5,0.02821436,24.71126851,46.67445967,24.71182915,46.67315816
72,4b6afa55f964a5202fea2be3,4e5bcac318388cd5cbc1a9c5,0.02821436,24.71101655,46.67442666,24.71182915,46.67315816
73,4b6afa55f964a5202fea2be3,50b10a19e4b004e6d2ec4344,2.790938898,24.71126851,46.67445967,24.68699332,46.68148181
74,4b6afa55f964a5202fea2be3,50b10a19e4b004e6d2ec4344,2.790938898,24.71101655,46.67442666,24.68699332,46.68148181
75,4b6afa55f964a5202fea2be3,52c44ed2498e2ff9cc1d2355,10.48845836,24.71126851,46.67445967,24.79611408,46.62907779
76,4b6afa55f964a5202fea2be3,52c44ed2498e2ff9cc1d2355,10.48845836,24.71101655,46.67442666,24.79611408,46.62907779
77,4e91596e49013919db2fba98,508ed42fe4b0c36e94d12fde,0.665386563,24.67547999,46.67426633,24.67677613,46.67784093
78,4e91596e49013919db2fba98,508ed42fe4b0c36e94d12fde,0.665386563,24.68083972,46.67719484,24.67677613,46.67784093
